Real_Name,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,dG
12,3.288060551527361,0.4416214767274013,-1.277986960366625,2.536628399687423,1.1328155876530164,-1.054230530392471,-1.2527933780995784,1.3100287561386772,-1.4661573855576333
133,-0.2587019162230098,-0.9702783829245218,-0.0699124733130039,-0.0152773098584004,-0.7314790334586363,-1.173320494632108,-0.5706799985668551,1.2516344923710672,-1.58430694123751
172,-0.2977914609784465,-2.139735683920384,0.8024470375382379,0.5419229724912892,-0.9822862588131958,0.1524667673622481,-0.6796113589149824,0.0240476027253185,-1.9529398344992004
176,2.622837127573252,-1.8549730265403916,3.1538095912980117,1.2183929002821567,-1.8785007235804785,1.407372885289378,0.1041647406756683,-0.031542044234233,-3.884426643541093
189,-1.206679224600629,1.3336740754690044,1.3845274258286493,-0.6101526587839432,1.4514430683277917,2.0831405991137264,-0.730406825781002,0.0510595022354164,-2.3162141298068137
3,-1.788380187124789,-2.5912959948949603,-1.281997695902912,-0.2503360337236802,0.5044896263089664,-0.2514334241468924,1.3209107765281027,0.3964709198991715,-1.0987136798307315
32,0.389606919998786,0.4358145644389063,-0.5731885429253389,-1.6349529063813275,-0.8885795339384148,-0.4789381667882865,-0.9136974869068086,-0.4104103018691179,-4.002230083167765
33,1.6610774821092067,1.6797709628245143,-0.4963233438365265,-1.7851853416310015,-1.330395831347153,-0.0959216203588773,-0.6470564661378696,-0.0683661015598867,-3.0534352575131054
36,3.1962556074161785,0.7337274271909972,1.2286424822638733,-3.03522887283495,-0.6227503734349991,-1.1972422331626709,-0.9998092983788448,0.1574404981606787,-3.030267846253999
4,-1.358733983001006,-0.3845098865240439,0.9551520575569802,0.134530256894898,0.1261407370503408,-1.4529180826260548,-0.228213639702656,0.3753525900470649,-1.126855522437957
40,1.1976136291962465,-0.881991865356489,-1.6411308357626415,-0.394426678263718,0.6869270773940407,0.1902730237756009,0.4301527377045557,-1.0130893014293014,-2.263697841599785
46,1.83601361017112,0.5880940116436374,-2.293017556762857,2.446699308049457,0.3447691968787528,1.2701210933975575,-0.7059159315344454,-1.5095035579927876,-1.8814899500574545
52,-1.6976225286457929,-0.7817526594618806,-0.769576690390091,0.7514729876666707,-1.152724548234908,-0.3919816332854158,-0.6985644993625115,-0.2308514380201353,-1.8565990455514167
83,-3.1369055454939723,0.7874233829126797,-0.2791394272423177,0.3290432826000105,0.2797483715627676,-0.1761414791066368,0.5563402431998885,-0.260895065771547,-1.1021651248690625
87,-0.9910689344114912,6.160814421132018,-2.638772972040212,-0.7157147840162931,-1.6902770086022418,-0.3989372511924466,-0.0143364538231293,-0.3460984166336588,-1.6958981223491287
95,-2.924029762891517,-0.0473646115717942,-0.73489561831665,0.605465240774291,-0.4342672000120976,-0.4037241807369562,-0.2202837648154822,-0.4431516785655898,-1.5335782531910933
