Real_Name,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,dG
107,0.6437930780065837,-0.2122103072983634,3.17473405575002,-1.5796349393809732,0.7075646104416187,-1.262440166036778,-2.148916989514117
12,3.288060551527361,0.4416214767274013,-1.277986960366625,2.536628399687423,1.1328155876530164,-1.054230530392471,-1.4661573855576333
13,-1.1294756963616892,0.2710986971529111,1.414177428275107,-2.205764740800172,2.2130982071035,0.8346085253820527,-2.0783026240111777
171,-0.9973575189341204,-2.4943234565235315,-1.2968739899354798,-0.8868688694007025,0.3319810319172059,-0.2844377029855323,-1.0783809174387322
174,1.1353893157510129,-2.010257132640881,2.110960290579274,0.9472529343519558,-1.3805498302178596,0.7758496522681246,-3.70887114136657
176,2.622837127573252,-1.8549730265403916,3.1538095912980117,1.2183929002821567,-1.8785007235804785,1.407372885289378,-3.884426643541093
22,0.3038011521553151,0.8739493558710051,-0.6671027853153753,-0.4207927739811973,-0.8916524104062,1.2192358745708594,-1.998013579377795
33,1.6610774821092067,1.6797709628245143,-0.4963233438365265,-1.7851853416310015,-1.330395831347153,-0.0959216203588773,-3.0534352575131054
4,-1.358733983001006,-0.3845098865240439,0.9551520575569802,0.134530256894898,0.1261407370503408,-1.4529180826260548,-1.126855522437957
40,1.1976136291962465,-0.881991865356489,-1.6411308357626415,-0.394426678263718,0.6869270773940407,0.1902730237756009,-2.263697841599785
45,-0.3848405384468547,-2.443479748576466,-1.5339191477450378,-1.1602635510520751,0.1186251408370849,0.245634921969981,-1.3262607939507511
46,1.83601361017112,0.5880940116436374,-2.293017556762857,2.446699308049457,0.3447691968787528,1.2701210933975575,-1.8814899500574545
48,-1.7784425770403156,-2.1148300966847398,-1.7917385853353258,-0.3784967929958777,-0.2321430067302572,-0.4111444123709294,-1.5259016334106572
52,-1.6976225286457929,-0.7817526594618806,-0.769576690390091,0.7514729876666707,-1.152724548234908,-0.3919816332854158,-1.8565990455514167
95,-2.924029762891517,-0.0473646115717942,-0.73489561831665,0.605465240774291,-0.4342672000120976,-0.4037241807369562,-1.5335782531910933
97,-0.6777506490997808,4.338501525341311,2.688820434925222,2.0159338876920727,-0.153559619461799,-0.1221244195600467,-2.459687418223027
