,train,test
1,0.4538411692237651,0.26533573314008246
2,0.8182191548223212,0.021309151108685254
3,0.3142793233959314,0.5951022906883187
mean,0.4983183636649427,0.11576252766123962
std,0.26019357502245377,0.287962243544703
