n_pca_comp,R2_train,R2_test
2,0.9166749935615892,0.017817519385293416
3,0.9027485531907703,0.0009389684417356008
4,0.9488150898046201,0.16168746475202284
5,0.957371075498072,0.25157502573195156
6,0.9569806408023736,0.257845379379189
7,0.9538667428344773,0.2676749570491015
8,0.9558097276848819,0.26992899175640706
9,0.9551867140421757,0.2737814439043603
10,0.9550532487392704,0.27655487250766914
