Real_Name,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,dG
107,0.6437930780065837,-0.2122103072983634,3.17473405575002,-1.5796349393809732,0.7075646104416187,-1.262440166036778,0.3999613192616255,-1.1808040652015237,-0.5450510235611223,-0.6602291334204715,-2.148916989514117
12,3.288060551527361,0.4416214767274013,-1.277986960366625,2.536628399687423,1.1328155876530164,-1.054230530392471,-1.2527933780995784,1.3100287561386772,-0.255859009574422,-0.2383094029603829,-1.4661573855576333
174,1.1353893157510129,-2.010257132640881,2.110960290579274,0.9472529343519558,-1.3805498302178596,0.7758496522681246,-0.2219475126238559,-0.007237620419556,-0.3683286434516463,0.7033330802492587,-3.70887114136657
176,2.622837127573252,-1.8549730265403916,3.1538095912980117,1.2183929002821567,-1.8785007235804785,1.407372885289378,0.1041647406756683,-0.031542044234233,-0.0599084601283509,0.9246633799306884,-3.884426643541093
36,3.1962556074161785,0.7337274271909972,1.2286424822638733,-3.03522887283495,-0.6227503734349991,-1.1972422331626709,-0.9998092983788448,0.1574404981606787,-0.2646443787174271,-0.2730988773924708,-3.030267846253999
4,-1.358733983001006,-0.3845098865240439,0.9551520575569802,0.134530256894898,0.1261407370503408,-1.4529180826260548,-0.228213639702656,0.3753525900470649,0.1696149595910933,-0.2152957377695095,-1.126855522437957
40,1.1976136291962465,-0.881991865356489,-1.6411308357626415,-0.394426678263718,0.6869270773940407,0.1902730237756009,0.4301527377045557,-1.0130893014293014,0.4431865774217474,-0.2568588459679408,-2.263697841599785
48,-1.7784425770403156,-2.1148300966847398,-1.7917385853353258,-0.3784967929958777,-0.2321430067302572,-0.4111444123709294,0.1455971119451733,0.1056683218115891,1.002511890204523,-0.1242086643373594,-1.5259016334106572
52,-1.6976225286457929,-0.7817526594618806,-0.769576690390091,0.7514729876666707,-1.152724548234908,-0.3919816332854158,-0.6985644993625115,-0.2308514380201353,1.3215249620248322,0.1319476123014582,-1.8565990455514167
83,-3.1369055454939723,0.7874233829126797,-0.2791394272423177,0.3290432826000105,0.2797483715627676,-0.1761414791066368,0.5563402431998885,-0.260895065771547,-0.9162910398624708,-0.6552802710059793,-1.1021651248690625
97,-0.6777506490997808,4.338501525341311,2.688820434925222,2.0159338876920727,-0.153559619461799,-0.1221244195600467,2.3923812470704835,1.1530326468572372,0.6439689854160582,-0.1362407480072818,-2.459687418223027
