,train,test
1,0.9999999999937541,0.9999985555222708
2,0.9999999999889171,0.9999999936125408
3,0.9999999999972142,0.9999999991377666
mean,0.9999999999932745,0.9999994025965382
std,4.167568073113581e-12,8.318813870250505e-07
