Real_Name,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,dG
107,0.6437930780065837,-0.2122103072983634,3.17473405575002,-1.5796349393809732,0.7075646104416187,-1.262440166036778,0.3999613192616255,-1.1808040652015237,-0.5450510235611223,-0.6602291334204715,-2.148916989514117
133,-0.2587019162230098,-0.9702783829245218,-0.0699124733130039,-0.0152773098584004,-0.7314790334586363,-1.173320494632108,-0.5706799985668551,1.2516344923710672,1.5780488684787646,-0.1586188874539143,-1.58430694123751
172,-0.2977914609784465,-2.139735683920384,0.8024470375382379,0.5419229724912892,-0.9822862588131958,0.1524667673622481,-0.6796113589149824,0.0240476027253185,-0.2555829943854008,0.269745878211611,-1.9529398344992004
174,1.1353893157510129,-2.010257132640881,2.110960290579274,0.9472529343519558,-1.3805498302178596,0.7758496522681246,-0.2219475126238559,-0.007237620419556,-0.3683286434516463,0.7033330802492587,-3.70887114136657
176,2.622837127573252,-1.8549730265403916,3.1538095912980117,1.2183929002821567,-1.8785007235804785,1.407372885289378,0.1041647406756683,-0.031542044234233,-0.0599084601283509,0.9246633799306884,-3.884426643541093
185,-1.5659498547425024,-0.0320194460485195,-0.868451479171624,-0.0562703752222525,0.4174925192413399,-0.4096204128473655,0.8451356795799824,0.8145688665741102,-1.2097584544834687,-0.2137387160189362,-1.328956889854767
3,-1.788380187124789,-2.5912959948949603,-1.281997695902912,-0.2503360337236802,0.5044896263089664,-0.2514334241468924,1.3209107765281027,0.3964709198991715,-0.9321885013724494,0.8669198817602616,-1.0987136798307315
41,7.840416126320268,0.5847221120569547,-0.8677043177476537,-1.0222821832112114,1.604633152432397,0.4223317797940914,1.8695418833182769,-0.0001925069927949,0.2234486680669098,0.4374483382499324,-3.0055445555831133
48,-1.7784425770403156,-2.1148300966847398,-1.7917385853353258,-0.3784967929958777,-0.2321430067302572,-0.4111444123709294,0.1455971119451733,0.1056683218115891,1.002511890204523,-0.1242086643373594,-1.5259016334106572
97,-0.6777506490997808,4.338501525341311,2.688820434925222,2.0159338876920727,-0.153559619461799,-0.1221244195600467,2.3923812470704835,1.1530326468572372,0.6439689854160582,-0.1362407480072818,-2.459687418223027
83charge,-3.685217814493394,1.0793176392091244,0.1596232574296465,-0.295314571249295,2.0964673695691096,1.7147934547225905,-0.7024949306343282,0.2652754435093699,-0.1126123944714,0.4776058583638105,-1.1469645711172096
83,-3.1369055454939723,0.7874233829126797,-0.2791394272423177,0.3290432826000105,0.2797483715627676,-0.1761414791066368,0.5563402431998885,-0.260895065771547,-0.9162910398624708,-0.6552802710059793,-1.1021651248690625
13,-1.1294756963616892,0.2710986971529111,1.414177428275107,-2.205764740800172,2.2130982071035,0.8346085253820527,-1.52599350679207,0.6003635788996321,-0.1634328982333554,0.4342590403201679,-2.0783026240111777
19,-0.5783160846083348,-0.2923738694634262,-0.0356042240981737,0.4870771985676743,-0.967024190094564,1.4111263461978856,0.2618980915161867,-0.062036074394611,-0.8957962955121413,-0.5598246507209591,-2.617576777502286
20,0.1396204278858449,-0.2122205116129374,-0.19951884344495,-0.0903614513136565,-1.145067514973408,1.2925612345775,-0.0999403734488907,-0.1047819874301232,0.0109472918256612,-1.1135294482271083,-3.175251215126808
22,0.3038011521553151,0.8739493558710051,-0.6671027853153753,-0.4207927739811973,-0.8916524104062,1.2192358745708594,0.3262822704042935,0.822460373749335,-0.2074275675600874,-1.4698793745511345,-1.998013579377795
33,1.6610774821092067,1.6797709628245143,-0.4963233438365265,-1.7851853416310015,-1.330395831347153,-0.0959216203588773,-0.6470564661378696,-0.0683661015598867,-0.4285877415350516,0.2690672826129238,-3.0534352575131054
36,3.1962556074161785,0.7337274271909972,1.2286424822638733,-3.03522887283495,-0.6227503734349991,-1.1972422331626709,-0.9998092983788448,0.1574404981606787,-0.2646443787174271,-0.2730988773924708,-3.030267846253999
46,1.83601361017112,0.5880940116436374,-2.293017556762857,2.446699308049457,0.3447691968787528,1.2701210933975575,-0.7059159315344454,-1.5095035579927876,-0.1147783743905186,-0.3231522989832587,-1.8814899500574545
4,-1.358733983001006,-0.3845098865240439,0.9551520575569802,0.134530256894898,0.1261407370503408,-1.4529180826260548,-0.228213639702656,0.3753525900470649,0.1696149595910933,-0.2152957377695095,-1.126855522437957
56,-1.6772037191926883,-0.3835059146894752,1.3801446233781287,0.4134732006895494,0.2217541824585751,-1.1861199021285518,0.1232722879069609,-0.0561568598752334,-0.2948390977214755,0.05770711860352,-1.67590883963434
