n_pca_comp,R2_train,R2_test
2,0.7944215721813364,0.4141065816473024
3,0.8541072987776703,0.22911146082673894
4,0.9009476999997897,0.2934843539539857
5,0.9669695412569835,0.29541992126053973
6,0.9675726112251967,0.28357687351365457
7,0.9627501159046523,0.24475029981652122
8,0.971135503387478,0.3312453107273455
9,0.9713048607330512,0.39962897783820356
10,0.9718774284029392,0.3965967725239286
