Real_Name,principal component 1,principal component 2,principal component 3,principal component 4,dG
107,0.6437930780065837,-0.2122103072983634,3.17473405575002,-1.5796349393809732,-2.148916989514117
133,-0.2587019162230098,-0.9702783829245218,-0.0699124733130039,-0.0152773098584004,-1.58430694123751
172,-0.2977914609784465,-2.139735683920384,0.8024470375382379,0.5419229724912892,-1.9529398344992004
174,1.1353893157510129,-2.010257132640881,2.110960290579274,0.9472529343519558,-3.70887114136657
176,2.622837127573252,-1.8549730265403916,3.1538095912980117,1.2183929002821567,-3.884426643541093
185,-1.5659498547425024,-0.0320194460485195,-0.868451479171624,-0.0562703752222525,-1.328956889854767
3,-1.788380187124789,-2.5912959948949603,-1.281997695902912,-0.2503360337236802,-1.0987136798307315
41,7.840416126320268,0.5847221120569547,-0.8677043177476537,-1.0222821832112114,-3.0055445555831133
48,-1.7784425770403156,-2.1148300966847398,-1.7917385853353258,-0.3784967929958777,-1.5259016334106572
97,-0.6777506490997808,4.338501525341311,2.688820434925222,2.0159338876920727,-2.459687418223027
83charge,-3.685217814493394,1.0793176392091244,0.1596232574296465,-0.295314571249295,-1.1469645711172096
83,-3.1369055454939723,0.7874233829126797,-0.2791394272423177,0.3290432826000105,-1.1021651248690625
13,-1.1294756963616892,0.2710986971529111,1.414177428275107,-2.205764740800172,-2.0783026240111777
19,-0.5783160846083348,-0.2923738694634262,-0.0356042240981737,0.4870771985676743,-2.617576777502286
20,0.1396204278858449,-0.2122205116129374,-0.19951884344495,-0.0903614513136565,-3.175251215126808
22,0.3038011521553151,0.8739493558710051,-0.6671027853153753,-0.4207927739811973,-1.998013579377795
33,1.6610774821092067,1.6797709628245143,-0.4963233438365265,-1.7851853416310015,-3.0534352575131054
36,3.1962556074161785,0.7337274271909972,1.2286424822638733,-3.03522887283495,-3.030267846253999
46,1.83601361017112,0.5880940116436374,-2.293017556762857,2.446699308049457,-1.8814899500574545
4,-1.358733983001006,-0.3845098865240439,0.9551520575569802,0.134530256894898,-1.126855522437957
56,-1.6772037191926883,-0.3835059146894752,1.3801446233781287,0.4134732006895494,-1.67590883963434
