Real_Name,principal component 1,principal component 2,principal component 3,principal component 4,dG
107,0.6437930780065837,-0.2122103072983634,3.17473405575002,-1.5796349393809732,-2.148916989514117
12,3.288060551527361,0.4416214767274013,-1.277986960366625,2.536628399687423,-1.4661573855576333
176,2.622837127573252,-1.8549730265403916,3.1538095912980117,1.2183929002821567,-3.884426643541093
189,-1.206679224600629,1.3336740754690044,1.3845274258286493,-0.6101526587839432,-2.3162141298068137
3,-1.788380187124789,-2.5912959948949603,-1.281997695902912,-0.2503360337236802,-1.0987136798307315
33,1.6610774821092067,1.6797709628245143,-0.4963233438365265,-1.7851853416310015,-3.0534352575131054
36,3.1962556074161785,0.7337274271909972,1.2286424822638733,-3.03522887283495,-3.030267846253999
4,-1.358733983001006,-0.3845098865240439,0.9551520575569802,0.134530256894898,-1.126855522437957
40,1.1976136291962465,-0.881991865356489,-1.6411308357626415,-0.394426678263718,-2.263697841599785
87,-0.9910689344114912,6.160814421132018,-2.638772972040212,-0.7157147840162931,-1.6958981223491287
95,-2.924029762891517,-0.0473646115717942,-0.73489561831665,0.605465240774291,-1.5335782531910933
