n_pca_comp,R2_train_mean,R2_test_mean
2,0.9274044924704548,-0.25985713465166854
3,0.9819255178701394,-0.24120100375858122
4,0.9953057087210656,-0.27181644702751384
5,0.9992869993136699,-0.23812394282201338
6,0.9993706071303551,-0.2116492960099471
7,0.9999164820918374,-0.1413673751183548
8,0.9999999999955274,-0.11041023051763998
9,0.999341312217226,-0.5441584365001179
10,0.9999999999959526,-0.17361679390875553
