Real_Name,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,dG
107,0.6437930780065837,-0.2122103072983634,3.17473405575002,-1.5796349393809732,0.7075646104416187,-2.148916989514117
13,-1.1294756963616892,0.2710986971529111,1.414177428275107,-2.205764740800172,2.2130982071035,-2.0783026240111777
133,-0.2587019162230098,-0.9702783829245218,-0.0699124733130039,-0.0152773098584004,-0.7314790334586363,-1.58430694123751
171,-0.9973575189341204,-2.4943234565235315,-1.2968739899354798,-0.8868688694007025,0.3319810319172059,-1.0783809174387322
172,-0.2977914609784465,-2.139735683920384,0.8024470375382379,0.5419229724912892,-0.9822862588131958,-1.9529398344992004
174,1.1353893157510129,-2.010257132640881,2.110960290579274,0.9472529343519558,-1.3805498302178596,-3.70887114136657
189,-1.206679224600629,1.3336740754690044,1.3845274258286493,-0.6101526587839432,1.4514430683277917,-2.3162141298068137
22,0.3038011521553151,0.8739493558710051,-0.6671027853153753,-0.4207927739811973,-0.8916524104062,-1.998013579377795
3,-1.788380187124789,-2.5912959948949603,-1.281997695902912,-0.2503360337236802,0.5044896263089664,-1.0987136798307315
32,0.389606919998786,0.4358145644389063,-0.5731885429253389,-1.6349529063813275,-0.8885795339384148,-4.002230083167765
36,3.1962556074161785,0.7337274271909972,1.2286424822638733,-3.03522887283495,-0.6227503734349991,-3.030267846253999
45,-0.3848405384468547,-2.443479748576466,-1.5339191477450378,-1.1602635510520751,0.1186251408370849,-1.3262607939507511
48,-1.7784425770403156,-2.1148300966847398,-1.7917385853353258,-0.3784967929958777,-0.2321430067302572,-1.5259016334106572
83,-3.1369055454939723,0.7874233829126797,-0.2791394272423177,0.3290432826000105,0.2797483715627676,-1.1021651248690625
87,-0.9910689344114912,6.160814421132018,-2.638772972040212,-0.7157147840162931,-1.6902770086022418,-1.6958981223491287
97,-0.6777506490997808,4.338501525341311,2.688820434925222,2.0159338876920727,-0.153559619461799,-2.459687418223027
