,train,test
1,0.9999999999862594,0.9999999983582475
2,0.9999999999842386,0.999999960151088
3,0.9999999999938913,0.9999999996487758
mean,0.9999999999881402,0.9999999828799365
std,5.0909172593396405e-12,2.2440736158970986e-08
