,train,test
1,0.9999999999997173,0.9999999999999534
2,0.9999999999996827,0.9999999999998301
3,0.9999999999971603,0.9999999997806797
mean,0.999999999998705,0.9999999999546874
std,1.4664254308921424e-12,1.2656217585767516e-10
