,train,test
0,0.9019248761305008,0.9128842337467334
1,0.9222371958819616,0.22145905661341933
2,0.9443027013028765,0.408576785726029
3,0.9541722537751245,0.8764003036753732
4,0.9135967588523008,0.6977122943177424
5,0.8573235959045902,0.7599547064296464
6,0.9999999999979965,0.3439596352690638
7,0.9384191038064803,0.8754834183254852
8,0.9209456047228747,0.8734092909176668
mean,0.9237837384391338,0.41926146512713114
std,0.03906520531310688,0.26680603584321516
