n_pca,R2_train_mean,R2_train_std,R2_test_mean,R2_test_std
2,0.5531858520246986,0.17569942311481054,0.34514042950668694,0.2841896661706005
3,0.4956307463332589,0.25381365369185893,0.23237729201309126,0.25010619180731575
4,0.7227006247669793,0.06832686223632915,0.5020215992865554,0.3125784529630672
5,0.7813018528439085,0.05182102073126996,0.6134763460303945,0.2321299597771322
6,0.7849340578829246,0.051974160588126116,0.5955215880496351,0.24980514102930584
7,0.7850661012907401,0.0521376716843589,0.5878902828689315,0.2569393548184107
8,0.8298255409010502,0.05850040397989252,0.5715599664082038,0.24741196380631048
9,0.8727560315918035,0.05532089970152289,0.5977556696996945,0.2547764487006963
10,0.8826827338335925,0.045036208223690685,0.6307051586305497,0.24386267555615965
