n_pca_comp,R2_train_mean,R2_train_std,R2_val_mean,R2_val_std,R2_test_mean,R2_test_std
2,0.7706358518290694,0.05780655769459186,0.31261594761954503,0.21695548676953466,0.28089005708478065,0.22282572353223257
3,0.8873096827637725,0.06691607863783855,0.7301735429921772,0.26370397204405516,0.5065727640357365,0.32984855859431517
4,0.9222980508731077,0.044559754606826346,0.6936006723495705,0.19438835430081047,0.6138765400679743,0.2869442941662116
5,0.9336195463197658,0.041977998187652694,0.6619276820366861,0.21817874541764135,0.6101329561195736,0.34500982901795346
6,0.9935376770864393,0.0057689208193236596,0.6296269927814124,0.29107598361024395,0.6521367920282237,0.2917870710303078
7,0.9984839266736433,0.001956006752893897,0.6683464097863989,0.2296708892483127,0.650695484111588,0.314056504236589
8,0.9992155524355406,0.0009917784263726765,0.74760817469249,0.23921620291601758,0.6444339100249468,0.28881024158161134
9,0.9995491946977813,0.0007511719372963075,0.7701574302200404,0.24474559145882008,0.6583435867459998,0.2731190855986075
10,0.9998477157075213,0.0002541367309726587,0.7598460452123131,0.24663214280683882,0.63682593238208,0.32320284208523625
