,train,test
0,0.9643043528040846,0.9204763958741204
1,0.9914498499835618,0.04449022583250659
2,0.9999999998643119,0.5694496126156826
3,0.9999999999993185,0.9155133516358716
4,0.9999999999973967,0.7721219106425241
5,0.9999999999062148,0.6786041119132314
6,0.9999999999986771,0.4236039923182145
7,0.999811826528088,0.08152670038629091
8,0.9999999998391476,0.949829967802391
mean,0.9943975810119755,0.49206149639453495
std,0.011874049402760664,0.3481513733409358
