n_pca_comp,R2_train,R2_test
2,0.8248297846378507,0.3300529088393143
3,0.8791882893701716,0.17671141272447227
4,0.8541650853310794,0.46218956757404217
5,0.9131031087799856,0.48325293578725553
6,0.9237481347797669,0.42357640964029875
7,0.9300760048913335,0.4215765279276665
8,0.9546476520752991,0.4826862320087747
9,0.9556532051678955,0.577354021017981
10,0.953118453479966,0.5825962397521613
