n_pca_comp,R2_train_mean,R2_train_std,R2_test_mean,R2_test_std
2,0.46842971430362057,0.22161219772898189,0.3049729232773296,0.2614487163302445
3,0.6143640172655326,0.13208641559722964,0.5740302474505883,0.20078901229594487
4,0.7916848896420611,0.10306089394630985,0.5752027787118934,0.21405734684909852
5,0.7794813438392377,0.09046398448269313,0.6031239884827269,0.21531000319884666
6,0.7788124683102778,0.09680733483543032,0.6075448437971118,0.21421176075939158
7,0.8290690489230949,0.12850288580546357,0.5967265565010074,0.1800551052757305
8,0.8756771718999661,0.07084839482909758,0.6056646937388093,0.2229627331543344
9,0.9092861833934913,0.0700850181457702,0.5730665769095025,0.22262371886260818
10,0.928370351929926,0.06817232588918157,0.6431014016651443,0.22249406428475116
