n_pca_comp,R2_train,R2_test
2,0.6457091800662236,0.3782043577396157
3,0.6046416904901787,0.5401501314174122
4,0.7270165998284022,0.5205589784736789
5,0.7459591147212662,0.8315402186770773
6,0.7435934489353935,0.8983274927201256
7,0.7919674060781856,0.7756443502624334
8,0.7863678813913817,0.7726930382961829
9,0.8753665409862331,0.8328768932657103
10,0.8792496369964096,0.8510899837660179
