n_pca_comp,R2_train_mean,R2_train_std,R2_test_mean,R2_test_std
2,0.7010339229920676,0.17317576783936708,0.20266363995516898,0.15603655779474568
3,0.7239938624505643,0.18047872391653544,0.3050796789224758,0.17171713945655406
4,0.8379443100419733,0.16997435395247099,0.36671463323095466,0.2397674180397068
5,0.8869737990658204,0.12506438670289965,0.4644702065880206,0.24323864456858005
6,0.9973203789536051,0.003806981066797896,0.4899157065782645,0.2530111861240632
7,0.9980941388003459,0.0029188057115398596,0.48914257278653633,0.25862713602249104
8,0.9908499831873245,0.01647847433856273,0.565204371141943,0.26935324826765117
9,0.9904648195179673,0.015095167202608655,0.5584482221824568,0.2625628844465413
10,0.9844110737937766,0.02081123148096161,0.55153315278398,0.2654761604386035
