n_pca_comp,R2_train_mean,R2_train_std,R2_test_mean,R2_test_std
2,0.49181762327114203,0.16422948851959918,0.1981760798944891,0.17780604108984022
3,0.6708128717295471,0.17300880317832004,0.28865536889206833,0.18532737982034328
4,0.7416638758633456,0.19685778129473588,0.2596561392516538,0.19401567712821594
5,0.7376411603915689,0.16608007007808473,0.26896018247978065,0.20042030448064574
6,0.7832779692263484,0.17065391092819393,0.2771318318009185,0.19633230714915975
7,0.8876551098451961,0.1730974463811414,0.3199298008408208,0.213324839323904
8,0.8655111628648167,0.13579931753063637,0.2683281406957454,0.20621879503525262
9,0.8668413769694863,0.12708263932699942,0.27387670839653283,0.2262754876240347
10,0.8420900623603534,0.15218765774602774,0.31585895765371697,0.2631467206940218
