Real_Name,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,dG
107,0.6437930780065837,-0.21221030729836343,3.1747340557500197,-1.5796349393809732,0.7075646104416187,-2.148916989514117
133,-0.2587019162230098,-0.9702783829245218,-0.06991247331300392,-0.015277309858400487,-0.7314790334586363,-1.58430694123751
171,-0.9973575189341203,-2.4943234565235315,-1.2968739899354798,-0.8868688694007025,0.33198103191720596,-1.0783809174387322
172,-0.2977914609784465,-2.139735683920384,0.8024470375382379,0.5419229724912892,-0.9822862588131958,-1.9529398344992004
174,1.1353893157510127,-2.010257132640881,2.110960290579274,0.9472529343519558,-1.3805498302178596,-3.70887114136657
176,2.6228371275732516,-1.8549730265403914,3.1538095912980113,1.2183929002821567,-1.8785007235804783,-3.884426643541093
183,-0.8442481894849683,1.1032159903105174,1.8807757366757762,1.724996502473292,1.1169063105701706,-3.010098901472772
185,-1.5659498547425024,-0.032019446048519515,-0.868451479171624,-0.05627037522225258,0.41749251924133995,-1.328956889854767
189,-1.206679224600629,1.3336740754690044,1.3845274258286493,-0.6101526587839432,1.4514430683277917,-2.3162141298068137
3,-1.788380187124789,-2.5912959948949603,-1.281997695902912,-0.2503360337236802,0.5044896263089664,-1.0987136798307315
41,7.840416126320268,0.5847221120569547,-0.8677043177476537,-1.0222821832112114,1.6046331524323967,-3.0055445555831133
48,-1.7784425770403156,-2.1148300966847393,-1.7917385853353258,-0.37849679299587774,-0.23214300673025723,-1.5259016334106572
87,-0.9910689344114911,6.160814421132018,-2.638772972040212,-0.7157147840162931,-1.6902770086022418,-1.6958981223491287
97,-0.6777506490997808,4.338501525341311,2.688820434925222,2.0159338876920727,-0.153559619461799,-2.459687418223027
83charge,-3.685217814493394,1.0793176392091244,0.15962325742964656,-0.295314571249295,2.0964673695691096,-1.1469645711172096
83,-3.1369055454939723,0.7874233829126797,-0.2791394272423177,0.32904328260001053,0.2797483715627676,-1.1021651248690625
95,-2.9240297628915175,-0.0473646115717942,-0.73489561831665,0.605465240774291,-0.4342672000120976,-1.5335782531910933
12,3.288060551527361,0.4416214767274013,-1.277986960366625,2.536628399687423,1.1328155876530164,-1.4661573855576333
13,-1.1294756963616892,0.2710986971529111,1.414177428275107,-2.205764740800172,2.2130982071034997,-2.0783026240111777
19,-0.5783160846083348,-0.29237386946342625,-0.03560422409817375,0.48707719856767434,-0.967024190094564,-2.617576777502286
20,0.13962042788584494,-0.21222051161293745,-0.19951884344495005,-0.09036145131365653,-1.145067514973408,-3.175251215126808
22,0.30380115215531517,0.8739493558710051,-0.6671027853153753,-0.42079277398119735,-0.8916524104062,-1.998013579377795
32,0.389606919998786,0.4358145644389063,-0.5731885429253389,-1.6349529063813275,-0.8885795339384148,-4.002230083167765
33,1.6610774821092067,1.6797709628245143,-0.49632334383652654,-1.7851853416310015,-1.3303958313471527,-3.0534352575131054
36,3.1962556074161785,0.7337274271909972,1.2286424822638733,-3.03522887283495,-0.6227503734349991,-3.030267846253999
40,1.1976136291962465,-0.881991865356489,-1.6411308357626417,-0.394426678263718,0.6869270773940407,-2.263697841599785
45,-0.38484053844685473,-2.443479748576466,-1.5339191477450378,-1.1602635510520751,0.11862514083708496,-1.3262607939507511
46,1.8360136101711197,0.5880940116436374,-2.2930175567628566,2.4466993080494572,0.3447691968787528,-1.8814899500574545
47,2.724231157664125,-0.5646230475481738,-1.0169589318461276,2.3844357618799856,1.1264008935595344,-2.0278942052139204
4,-1.3587339830010061,-0.38450988652404394,0.9551520575569802,0.13453025689489806,0.1261407370503408,-1.126855522437957
52,-1.6976225286457927,-0.7817526594618806,-0.769576690390091,0.7514729876666707,-1.152724548234908,-1.8565990455514167
56,-1.6772037191926885,-0.38350591468947526,1.3801446233781287,0.41347320068954946,0.22175418245857514,-1.67590883963434
