Real_Name,principal component 1,principal component 2,dG
107,0.6437930780065837,-0.21221030729836343,-2.148916989514117
133,-0.2587019162230098,-0.9702783829245218,-1.58430694123751
171,-0.9973575189341203,-2.4943234565235315,-1.0783809174387322
172,-0.2977914609784465,-2.139735683920384,-1.9529398344992004
174,1.1353893157510127,-2.010257132640881,-3.70887114136657
176,2.6228371275732516,-1.8549730265403914,-3.884426643541093
183,-0.8442481894849683,1.1032159903105174,-3.010098901472772
185,-1.5659498547425024,-0.032019446048519515,-1.328956889854767
189,-1.206679224600629,1.3336740754690044,-2.3162141298068137
3,-1.788380187124789,-2.5912959948949603,-1.0987136798307315
41,7.840416126320268,0.5847221120569547,-3.0055445555831133
48,-1.7784425770403156,-2.1148300966847393,-1.5259016334106572
87,-0.9910689344114911,6.160814421132018,-1.6958981223491287
97,-0.6777506490997808,4.338501525341311,-2.459687418223027
83charge,-3.685217814493394,1.0793176392091244,-1.1469645711172096
83,-3.1369055454939723,0.7874233829126797,-1.1021651248690625
95,-2.9240297628915175,-0.0473646115717942,-1.5335782531910933
12,3.288060551527361,0.4416214767274013,-1.4661573855576333
13,-1.1294756963616892,0.2710986971529111,-2.0783026240111777
19,-0.5783160846083348,-0.29237386946342625,-2.617576777502286
20,0.13962042788584494,-0.21222051161293745,-3.175251215126808
22,0.30380115215531517,0.8739493558710051,-1.998013579377795
32,0.389606919998786,0.4358145644389063,-4.002230083167765
33,1.6610774821092067,1.6797709628245143,-3.0534352575131054
36,3.1962556074161785,0.7337274271909972,-3.030267846253999
40,1.1976136291962465,-0.881991865356489,-2.263697841599785
45,-0.38484053844685473,-2.443479748576466,-1.3262607939507511
46,1.8360136101711197,0.5880940116436374,-1.8814899500574545
47,2.724231157664125,-0.5646230475481738,-2.0278942052139204
4,-1.3587339830010061,-0.38450988652404394,-1.126855522437957
52,-1.6976225286457927,-0.7817526594618806,-1.8565990455514167
56,-1.6772037191926885,-0.38350591468947526,-1.67590883963434
