,train,test
1,0.9999999999999905,0.04804949561861023
2,0.9999999999999938,0.056421644061279405
3,0.9999999999957527,0.334539710898324
mean,0.8882375990746078,0.06311324610241989
std,2.4476115742037926e-12,0.16304211900699037
