Feature,Importance
num_cycle_nitrogens,0.04962832942962274
num_all_cycle_atoms,0.04945611445213207
num_nitrogens,0.049400303580893444
num_cycle_oxygens,0.04939783757569992
num_electroneg_1_3_neighbors,0.04935871149104239
num_oxygens,0.04916867318520095
num_carbon_aromatic_rings,0.04888320429796248
Net partial charge,0.04824150948754619
num_cycle_carbons,0.04811344289650314
num_sulfurs,0.0479583140562021
pore_median,0.0478072348776805
mean_ring_planarity,0.047767628336551404
pore_avg,0.04771528400071983
num_hba,0.04767936344305664
ElectronegativitySum,0.04761597827514863
num_nitrogen_aromatic_rings,0.04736522345589004
num_cycle_sulfurs,0.04724381146399945
EstimatedLonePairs,0.046601359831724816
num_hbd,0.04648634435417137
NCO_count,0.04506399156391088
