,train,test
1,0.9999999999999951,0.028866778942587257
2,0.999999999560669,0.1788813283304525
3,0.9999999999999951,0.612270630094189
mean,0.6910052864149254,0.04344871602859306
std,2.53645060012105e-10,0.3029550861788547
