,train,test
1,0.9999999986391637,0.004917355361302129
2,0.6730781135294597,0.03270504245252962
3,0.9999999999917208,0.019729316539493107
mean,0.39154746377660626,0.0007661497746647651
std,0.18874843876251715,0.013903951541405144
