,train,test
1,0.9997837642226436,0.019953336698189123
2,0.9999999999810218,0.23177646748262154
3,0.9999999999998648,0.1716578673702977
mean,0.9997848981855454,0.03605736728093835
std,0.0001248437787475951,0.10916161523266699
