n_pca,train-avg,test-avg,train-std,test-std
1,0.448405125909936,0.13404580984240164,0.12174206172466435,0.18183553733969113
2,0.7020612005914304,0.14108838276891844,0.023297436028925363,0.17669244649935573
3,0.8965342580281,0.24694441124852937,0.1046314886217553,0.1645995294181122
4,0.9458915241300925,0.3270924989084894,0.0390991538015267,0.1868316565333355
5,0.940125683904624,0.40657438575162125,0.05034876547394195,0.22715231210987288
