n_pca,train-avg,test-avg,train-std,test-std
2,0.9999999999999529,0.9999999999998996,6.04179657005579e-15,5.804948420242847e-14
3,0.9999999999999878,0.9999999999999538,5.4587533466497014e-15,2.3560282390909974e-14
4,0.9999999999999734,0.9999999999998805,8.356594942889458e-15,1.3429061928503685e-13
5,0.9999999999999065,0.9999999999995401,8.688851803960552e-14,5.234969102714322e-13
6,0.9999999999998488,0.9999999999992151,9.652541651233464e-14,5.819082508122236e-13
7,0.9999999999991755,0.999999999992327,2.3621481405101677e-13,7.2232344629665245e-12
8,0.9999999999989391,0.9999999999900244,3.536724052049958e-13,8.485652750370326e-12
9,0.9999999999986839,0.9999999999868363,4.023632048802071e-13,1.2231385211309922e-11
10,0.9999999999982918,0.9999999999786071,6.366472799939418e-13,1.56566913820254e-11
