n_pca,train-avg,test-avg,train-std,test-std
2,0.9999999999879121,0.9999999382882608,2.5284993623405016e-12,3.565313001880811e-09
3,0.9999999999980496,0.9999877381043406,1.820556923242884e-12,2.6536196040152545e-06
4,0.9999999999991322,0.7388107848253658,7.807185089951329e-13,0.2489634010506061
5,0.9999999999992493,0.3460550989179563,4.4216548843478446e-13,0.2334172890352111
6,0.9999999999290061,0.24580336449732987,5.4079250047641975e-12,0.28930425634576545
7,0.9999999999615763,0.1082983363708945,6.148846714974663e-14,0.2865863390199207
8,0.9999999999525766,0.3703171632722185,2.120089980762514e-14,0.3224535106760164
9,0.9999999998561724,0.3987604786885201,2.9145016300025326e-12,0.31389737161502046
10,0.999999999916352,0.3879583864564844,1.0974471766596645e-13,0.2513961925649685
