n_pca,train-avg,test-avg,train-std,test-std
2,0.061705319822309014,0.14378789808102466,0.414116057420677,0.0
3,0.02514949363920737,0.3688092624389367,0.08765210022229943,0.5773493648946862
4,0.12701735851240525,0.10655097463157491,0.3667496804793721,1.0532500405730103e-15
5,0.3509949163150321,0.1967861566066637,0.3336569171526201,5.701438348160615e-09
6,0.015607850321873003,0.18176577102244862,0.09162209086705968,0.057735026918962436
7,0.08840237842685648,0.09658287740353849,0.49021256835341426,0.0
8,0.06114321243007065,0.18984403348223744,0.4724458670517847,1.5700924586837752e-16
9,0.04071024081933467,0.1817658450395535,0.09662467209998521,0.0
10,0.05145175578697042,0.18176446676818206,0.31917243215553937,4.129129061417327e-10
