n_pca,train-avg,test-avg,train-std,test-std
2,0.999999999999754,0.9999999999958005,2.1647178243013375e-13,3.5452756721463492e-12
3,0.999999999999899,0.9999999999989391,5.5922353636595436e-14,1.8385095427687977e-12
4,0.9999999999998368,0.9999999999985492,7.764908882366111e-14,3.2249960250483798e-12
5,0.999999999998705,0.9999999999546874,1.4664254308921424e-12,1.2656217585767516e-10
6,0.9999999999981026,0.9999999999174249,2.1240424842626907e-12,2.2311117629683252e-10
7,0.9999999999803977,0.9999999895122105,3.3977793915060585e-11,1.0467738754017838e-08
8,0.9999736992949045,0.9824827920382145,5.490770592204903e-05,0.016733141535879636
9,0.999999999987671,0.9274029615532149,8.31740385161725e-12,0.04052669032439311
10,0.9999999999931883,0.85009066459216,3.302765059971841e-12,0.01684470738553518
