n_pca,train-avg,test-avg,train-std,test-std
2,0.9999999999687605,0.9999999977861402,3.266041536528878e-11,1.9243632919220076e-09
3,0.9999999999611262,0.9999999960549459,4.226621408546985e-11,3.3764629442936687e-09
4,0.9999999999914215,0.999999999766356,6.5677362391153265e-12,1.1821587045149778e-10
5,0.9999999999881402,0.9999999828799365,5.0909172593396405e-12,2.2440736158970986e-08
6,0.999999999992262,0.9999999915929585,1.4046372764328564e-12,4.969304198569954e-09
7,0.9999999999928595,0.9999999978149974,3.4795561886394393e-12,1.958339420079821e-09
8,0.9999999999902203,0.9999999704489038,6.1213037942047536e-12,2.1715656332452306e-08
9,0.9999999999926765,0.9999999716402708,4.051114349205555e-12,3.0586805928021905e-08
10,0.9999999999932745,0.9999994025965382,4.167568073113581e-12,8.318813870250505e-07
