,train,test
1,0.9999999999930584,0.9999999959217087
2,0.9999999999893141,0.9999999982490035
3,0.9999999999962663,0.9999999998135523
mean,0.9999999999928595,0.9999999978149974
std,3.4795561886394393e-12,1.958339420079821e-09
