Real_Name,paper_name,dG,EstimatedLonePairs,num_electroneg_1_3_neighbors,mean_ring_planarity,ElectronegativitySum,Net partial charge,NCO_count,num_nitrogens,num_oxygens,num_sulfurs,num_hbd,num_hba,num_carbon_aromatic_rings,num_nitrogen_aromatic_rings,num_all_cycle_atoms,num_cycle_nitrogens,num_cycle_oxygens,num_cycle_sulfurs,num_cycle_carbons,pore_avg,pore_median,pore_std
107,H23,-2.1958077421658038,2.5,0,0.3509,387.7,-0.002,0,5,0,0,0,5,10,0,65,5,0,0,60,11.720915824634654,10.98299,5.314367634123884
133,H24,-1.5846596534946584,18.0,0,0.5016,369.3,0.003,2,2,8,0,6,8,0,0,32,2,0,0,30,1.9087366355140187,1.23183,2.679401360163613
171,H25,-1.1891336924103912,16.0,0,0.3509,159.12,-0.003,0,0,8,0,0,8,2,0,32,0,8,0,24,5.942151872659176,5.39216,3.1628302564770023
172,H26,-1.962923544576639,20.0,0,0.3521,189.65,0.005,0,0,10,0,10,10,5,0,35,0,0,0,35,7.789875208845207,7.14078,4.723590415783315
174,H27,-3.76797874742788,28.0,0,0.3811,265.51,0.003,0,0,14,0,14,14,7,0,49,0,0,0,49,10.856660594059408,10.09679,5.804229855399776
176,H28,-3.885164172020649,36.0,0,0.3649,341.37,0.001,0,0,18,0,18,18,9,0,63,0,0,0,63,11.495083360160969,10.63323,5.362786256873346
183,H29,-3.125385810617635,17.0,0,0.1381,347.72,-0.002,0,10,0,4,10,4,6,2,38,10,0,0,28,11.24923206185567,10.81608,5.762980867207228
185,H30,-1.333267771128787,16.0,8,0.4337,124.28,-0.0,0,8,4,0,0,12,2,2,32,8,4,0,20,7.8253293023255805,7.17298,5.105751576538194
189,H31,-2.4345058401715667,52.0,0,0.0612,325.88,3.995,0,8,4,0,4,12,6,4,38,8,0,0,30,6.765379368029739,5.88357,2.853301416679241
3,H1,-1.1244334770519653,16.0,0,0.398,138.72,0.016,0,0,8,0,0,8,0,0,24,0,8,0,16,10.84136819706499,10.3612,6.007922148132084
41,H11,-3.066838566526077,52.0,0,0.8396,471.28,-0.005,8,4,20,4,0,24,10,4,100,4,12,4,80,1.3915945569620254,0.31783,3.516594882181024
48,H15,-1.539245668760001,15.0,0,0.1913,180.62,0.001,1,1,7,0,2,7,1,0,18,0,5,0,13,1.924278596491228,0.7009,3.453458648462964
87,H20,-2.005140248568136,40.0,0,0.1413,237.7,-0.005,20,20,10,0,0,10,0,10,40,20,0,0,20,1.8661500787401573,1.32706,2.189122373891338
97,H22,-2.4528112618348863,18.0,0,0.176,504.42,0.0,0,18,0,0,12,18,0,6,54,18,0,0,36,12.870813370288248,12.18286,4.623235088536598
83charge,H19,-1.2400520458167803,14.0,0,0.0034,164.72,4.008,0,8,0,0,0,8,0,4,24,8,0,0,16,10.729171289640592,10.37285,6.212607071372626
83,H18,-1.2969334854806922,8.0,0,0.0604,173.52,0.001,0,8,0,0,0,8,0,4,24,8,0,0,16,10.68197786163522,10.32801,6.206313957289072
95,H21,-1.5124480732028336,14.0,0,0.0825,131.4,-0.0,4,6,4,0,4,6,0,2,20,6,0,0,14,9.228246437054633,8.97011,5.56672667596287
12,H3,-1.4990164414513465,40.0,4,0.9009,257.12,0.002,4,8,12,4,8,20,4,0,48,8,0,4,36,1.769043333333333,0.66438,3.416921243964661
13,H4,-2.0943520941759197,4.0,0,0.422,222.56,3.996,0,4,0,0,0,4,4,4,52,4,0,0,48,7.242664281345566,6.7481,3.9879221049359423
19,H5,-2.6227075125538177,26.0,0,0.1728,189.24,-0.003,0,4,12,0,4,16,4,4,34,4,0,0,30,8.997268466522677,8.43689,6.090570409953054
20,H6,-3.233637276625608,26.0,0,0.165,218.44,-0.002,0,4,12,0,4,16,6,4,38,4,0,0,34,3.743238441558441,3.02573,2.868209635043891
22,H7,-2.0462015421929083,27.0,0,0.3052,261.12,-0.004,0,6,12,0,0,18,3,6,42,6,0,0,36,3.15383,2.48,2.233083306251592
32,H8,-3.954439263751375,20.0,0,0.4099,260.28,0.0,8,4,8,0,0,8,6,4,42,4,0,0,38,2.735052983137636,2.00643,2.943198567267672
33,H9,-3.056465927486737,30.0,0,0.543,304.92,-0.002,12,6,12,0,0,12,6,6,54,6,0,0,48,3.2889614201183432,2.53986,2.000842155444823
40,H10,-2.315557171001566,26.0,0,0.179,235.64,0.004,4,2,10,2,0,12,5,2,46,2,6,2,36,2.477102549019608,1.51835,2.9281958091729807
45,H12,-1.3542178688475297,20.0,0,0.1413,223.0,0.002,0,0,10,0,0,10,4,0,34,0,10,0,24,2.4655691139240505,1.51593,3.5039711483994376
46,H13,-1.9054451206103973,44.0,0,0.1033,251.32,-0.004,8,4,16,4,4,20,4,4,32,4,0,4,24,5.646292638297872,4.31154,4.105014213023605
47,H14,-2.1107268756658235,36.0,0,0.7544,244.96,0.001,4,4,12,4,8,16,4,0,44,4,0,4,36,4.692451191709845,3.4146,3.32408125735902
4,H2,-1.6033528101282104,6.0,0,0.3912,257.34,-0.005,0,6,0,0,6,6,3,0,36,6,0,0,30,6.815364242424242,5.68675,4.434936358174045
52,H16,-1.8645407793608977,20.0,0,0.0892,231.08,-0.008,4,4,8,0,8,8,2,0,18,4,0,0,14,3.3516027586206896,0.83901,5.232346989662839
56,H17,-1.7365792901436872,6.0,0,0.2996,257.34,0.002,0,6,0,0,6,6,3,0,36,6,0,0,30,10.735667079107504,10.16421,6.010372676796889
