,train,test
1,0.9999999999988329,0.9999999999737768
2,0.9999999999989555,0.999999999993628
3,0.9999999999982054,0.9999999999960825
mean,0.9999999999986839,0.9999999999868363
std,4.023632048802071e-13,1.2231385211309922e-11
