,train,test
1,0.9999999999832501,0.9134019199826219
2,0.9999999999972482,0.9291425896073681
3,0.999999999982466,0.9901301619355058
mean,0.999999999987671,0.9274029615532149
std,8.31740385161725e-12,0.04052669032439311
