,train,test
1,0.9999999999941911,0.9999999952227085
2,0.9999999999881366,0.9999999824188189
3,0.9999999999958267,0.999999937016291
mean,0.9999999999926765,0.9999999716402708
std,4.051114349205555e-12,3.0586805928021905e-08
