Real_Name,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,dG
133,-0.2587019162230098,-0.9702783829245218,-0.0699124733130039,-0.0152773098584004,-0.7314790334586363,-1.173320494632108,-0.5706799985668551,1.2516344923710672,1.5780488684787646,-1.58430694123751
171,-0.9973575189341204,-2.4943234565235315,-1.2968739899354798,-0.8868688694007025,0.3319810319172059,-0.2844377029855323,1.0405806119945629,0.2351108090135747,-0.1636135098080802,-1.0783809174387322
172,-0.2977914609784465,-2.139735683920384,0.8024470375382379,0.5419229724912892,-0.9822862588131958,0.1524667673622481,-0.6796113589149824,0.0240476027253185,-0.2555829943854008,-1.9529398344992004
174,1.1353893157510129,-2.010257132640881,2.110960290579274,0.9472529343519558,-1.3805498302178596,0.7758496522681246,-0.2219475126238559,-0.007237620419556,-0.3683286434516463,-3.70887114136657
183,-0.8442481894849683,1.1032159903105174,1.880775736675776,1.724996502473292,1.1169063105701706,-1.4349349024234357,0.216067411364726,-1.933485592780692,0.5384009555294307,-3.010098901472772
189,-1.206679224600629,1.3336740754690044,1.3845274258286493,-0.6101526587839432,1.4514430683277917,2.0831405991137264,-0.730406825781002,0.0510595022354164,1.2525990000245786,-2.3162141298068137
3,-1.788380187124789,-2.5912959948949603,-1.281997695902912,-0.2503360337236802,0.5044896263089664,-0.2514334241468924,1.3209107765281027,0.3964709198991715,-0.9321885013724494,-1.0987136798307315
41,7.840416126320268,0.5847221120569547,-0.8677043177476537,-1.0222821832112114,1.604633152432397,0.4223317797940914,1.8695418833182769,-0.0001925069927949,0.2234486680669098,-3.0055445555831133
87,-0.9910689344114912,6.160814421132018,-2.638772972040212,-0.7157147840162931,-1.6902770086022418,-0.3989372511924466,-0.0143364538231293,-0.3460984166336588,-0.0590200446588308,-1.6958981223491287
97,-0.6777506490997808,4.338501525341311,2.688820434925222,2.0159338876920727,-0.153559619461799,-0.1221244195600467,2.3923812470704835,1.1530326468572372,0.6439689854160582,-2.459687418223027
83,-3.1369055454939723,0.7874233829126797,-0.2791394272423177,0.3290432826000105,0.2797483715627676,-0.1761414791066368,0.5563402431998885,-0.260895065771547,-0.9162910398624708,-1.1021651248690625
95,-2.924029762891517,-0.0473646115717942,-0.73489561831665,0.605465240774291,-0.4342672000120976,-0.4037241807369562,-0.2202837648154822,-0.4431516785655898,-0.5714371080702534,-1.5335782531910933
12,3.288060551527361,0.4416214767274013,-1.277986960366625,2.536628399687423,1.1328155876530164,-1.054230530392471,-1.2527933780995784,1.3100287561386772,-0.255859009574422,-1.4661573855576333
13,-1.1294756963616892,0.2710986971529111,1.414177428275107,-2.205764740800172,2.2130982071035,0.8346085253820527,-1.52599350679207,0.6003635788996321,-0.1634328982333554,-2.0783026240111777
32,0.389606919998786,0.4358145644389063,-0.5731885429253389,-1.6349529063813275,-0.8885795339384148,-0.4789381667882865,-0.9136974869068086,-0.4104103018691179,0.0387424804724293,-4.002230083167765
33,1.6610774821092067,1.6797709628245143,-0.4963233438365265,-1.7851853416310015,-1.330395831347153,-0.0959216203588773,-0.6470564661378696,-0.0683661015598867,-0.4285877415350516,-3.0534352575131054
40,1.1976136291962465,-0.881991865356489,-1.6411308357626415,-0.394426678263718,0.6869270773940407,0.1902730237756009,0.4301527377045557,-1.0130893014293014,0.4431865774217474,-2.263697841599785
45,-0.3848405384468547,-2.443479748576466,-1.5339191477450378,-1.1602635510520751,0.1186251408370849,0.245634921969981,1.541454752073311,-0.3018460417438651,1.0528855894076017,-1.3262607939507511
46,1.83601361017112,0.5880940116436374,-2.293017556762857,2.446699308049457,0.3447691968787528,1.2701210933975575,-0.7059159315344454,-1.5095035579927876,-0.1147783743905186,-1.8814899500574545
47,2.724231157664125,-0.5646230475481738,-1.0169589318461276,2.3844357618799856,1.1264008935595344,-0.833905143640143,-1.3619957390204869,0.3979342529224166,-0.4567226909656779,-2.0278942052139204
4,-1.358733983001006,-0.3845098865240439,0.9551520575569802,0.134530256894898,0.1261407370503408,-1.4529180826260548,-0.228213639702656,0.3753525900470649,0.1696149595910933,-1.126855522437957
52,-1.6976225286457929,-0.7817526594618806,-0.769576690390091,0.7514729876666707,-1.152724548234908,-0.3919816332854158,-0.6985644993625115,-0.2308514380201353,1.3215249620248322,-1.8565990455514167
