Real_Name,principal component 1,principal component 2,principal component 3,dG
174,1.1353893157510129,-2.010257132640881,2.110960290579274,-3.70887114136657
189,-1.206679224600629,1.3336740754690044,1.3845274258286493,-2.3162141298068137
3,-1.788380187124789,-2.5912959948949603,-1.281997695902912,-1.0987136798307315
33,1.6610774821092067,1.6797709628245143,-0.4963233438365265,-3.0534352575131054
48,-1.7784425770403156,-2.1148300966847398,-1.7917385853353258,-1.5259016334106572
52,-1.6976225286457929,-0.7817526594618806,-0.769576690390091,-1.8565990455514167
83,-3.1369055454939723,0.7874233829126797,-0.2791394272423177,-1.1021651248690625
87,-0.9910689344114912,6.160814421132018,-2.638772972040212,-1.6958981223491287
95,-2.924029762891517,-0.0473646115717942,-0.73489561831665,-1.5335782531910933
97,-0.6777506490997808,4.338501525341311,2.688820434925222,-2.459687418223027
