,train,test
1,0.999999999914599,0.999999993260642
2,0.9999999999976632,0.9999999999141138
3,0.999999999969716,0.9999999955873824
mean,0.9999999999611262,0.9999999960549459
std,4.226621408546985e-11,3.3764629442936687e-09
