Real_Name,principal component 1,principal component 2,principal component 3,dG
107,-0.9956734488112101,4.524492463924806,4.959306533714662,-2.195807742165804
133,-1.7065519289690065,-0.6850340529229786,-1.2078524095009595,-1.5846596534946584
171,-2.9379702695299352,0.3500087013197775,-0.8668612180096762,-1.1891336924103912
172,-1.595513112615864,0.8817311167446906,-0.16698349823089828,-1.962923544576639
174,-0.42994438368368765,1.3778790656440907,0.9527871646993195,-3.76797874742788
176,0.7392971085518376,1.3032740327814323,1.766340305792362,-3.885164172020649
183,-1.0250965566552968,0.8548033320558547,1.6839647225414234,-3.125385810617635
185,-2.4973565615676123,-1.3950232149134405,-0.44467012198765893,-1.333267771128787
189,-1.2571360410065011,-0.044750052017997144,1.7899185083493157,-2.4345058401715667
3,-3.297365554440283,-0.6103835314635225,-2.0163248635822493,-1.1244334770519653
41,2.1383285629062927,-3.517128043501667,2.167721685702244,-3.066838566526077
48,-3.067942983822972,-0.19723863974555128,-1.8584735802672412,-1.539245668760001
87,-0.10226217841430618,-5.252729769803918,1.1791646465878094,-2.005140248568136
88,-3.2973655544402836,-0.6103835314635208,-2.0163248635822484,-1.1244334770519653
89,-3.297365554440285,-0.610383531463522,-2.0163248635822493,-1.1244334770519653
90,-3.2973655544402845,-0.6103835314635215,-2.016324863582249,-1.1244334770519653
97,-0.09636826289076798,-2.1977439845276843,2.3085455207993286,-2.4528112618348863
83charge,-3.134245129331744,-0.6622682907953299,0.12233536985456729,-1.2400520458167803
83,-2.9400183598165386,-1.0299032385484734,-0.2015382426877919,-1.2969334854806922
95,-2.6165264752242723,-1.4561314637264864,-1.4576876636393803,-1.5124480732028336
A1+2,-0.32749792211841294,0.26271092602919055,-1.368721199491624,-4.92107265089807
A1+3,1.7640401321981376,0.22987350265919776,-0.7568739498837845,-4.086896792064719
davis2water,11.372746117718307,-4.423398854995321,-1.3986257095854138,-23.80378577180561
N1+2+1,0.06258765275863686,2.257094795143437,0.24162259562049193,-3.411723729084948
N1+2,-0.08323580214285031,1.2079754818311887,-0.34924080200244295,-2.537074488001345
urea+AMTA+cage1,2.6474756699260045,1.0021340587396714,0.5507733927146315,-2.393096451521924
urea+AMTA+cage2,4.443267067796366,0.83714320101025,-0.16013873905177506,-3.385978800054009
urea+AMTA+cage3,2.669413822234336,1.740688277811968,-0.583785315279996,-3.26009701728842
urea+cage1,2.6798310341704585,-0.3139584236826046,-0.1081315993868335,-2.5916326479986465
urea+cage2,4.453816227343791,0.0640832416817184,-0.5638819196362393,-2.7840071386494856
urea+cage3,-0.47421088190119437,0.9596182862591205,-0.8511739996426185,-3.5668887128890487
urea+cage4,0.15424470251264935,1.252184831409022,-0.2611671228548078,-2.060364492189253
urea+cage5,0.11602718150382267,1.6001078833052853,-1.1314675431681565,-2.4293803915839973
12,0.3908666593024448,1.7284465796993793,0.8578459788970341,-1.4990164414513465
13,-2.430289156971018,0.7293079833500878,2.443749821492542,-2.09435209417592
19,-1.5797584717111344,-0.8995561636458447,0.12596494232884536,-2.6227075125538177
20,-1.326753925383738,0.699387184379821,1.415835894842134,-3.233637276625608
22,-1.3621817939667427,-1.0426467781966688,1.1388234558999952,-2.0462015421929083
2Anthracene+dithiol+1DM,-0.16336542427223547,0.41041573527489733,-1.2367640105584505,-6.3539699694120575
2Anthracene+dithiol+2DM,-0.007469295027219791,0.5557101976865376,-1.1225609358908473,-3.236494554432239
2Triamidethiol+1DM,1.3908730695869913,0.1209324999890844,-1.5196851626876842,-4.289709617613264
32,-1.2150463446103377,-1.4476841195075232,0.8942347552010993,-3.954439263751375
33,-0.19953403411708298,-1.3549448734320917,2.193783370271001,-3.056465927486737
36,0.1335667314306236,-0.31497653504074946,3.7346683149437188,-2.9883469172673336
38,-0.044200997604312155,-4.92998568935029,3.300046499781964,-1.1244334770519653
3Anthracene+dithiol+1DM,2.0417507039989573,0.38500690749968536,-0.3995919765677387,-5.582542886058176
40,-1.2998529863062291,-1.3542050128005483,-0.2826703394615503,-2.315557171001566
45,-2.5534754399148163,-0.16634046854739978,-0.7617897769211096,-1.3542178688475297
46,-0.13453256536090763,0.6881486724697222,0.15634822944203303,-1.9054451206103973
47,-0.08489510429993131,1.7334800369007342,0.28559403388166976,-2.1107268756658235
4,-2.0494079630552475,1.046060390222998,0.6841983972212375,-1.6033528101282104
52,-1.9371055623600486,-0.9716121801972043,-1.768626102041384,-1.8645407793608977
56,-2.031082342899264,0.33573698854949935,0.3313672351545019,-1.7365792901436872
new+urea+AMTA+cage4,6.49077236779437,2.3562347449099135,1.132032640711943,-2.245272094194137
new+urea+HB+cage3,2.663642399472986,1.3790963875534765,-0.7937865206134967,-1.9524766620994205
T1+2B1+2+HB,2.9600720697379312,0.7437842952125125,-1.4063531717903268,-6.343702352063376
T1+2B1+2,2.95583542406759,0.9245861428131831,-1.3154227590118697,-2.986309163570722
T1+2B1+HB,2.0824891672882004,0.8751352883836332,-1.2673658130316616,-5.31857897270717
T1+2+HB,1.275100512428551,0.19025687420012813,-1.4474340565038808,-8.706828919404163
T1+2,1.2699195393942952,0.4912638683078635,-1.292349302729581,-2.581217624680994
