Real_Name,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,dG
107,-0.6656659614625833,-1.0427867273250195,3.4338878076879427,-2.3185752166158196,0.4683370279818823,-1.6077169452496218,-0.812058186581893,-1.0937634638207205,-2.195807742165804
133,-0.3847918426023767,-0.7338671402285238,-0.9860873198366445,0.13811672412393938,-0.9712328551318282,-0.6733318452807533,-1.5085669473564849,1.6000186604116735,-1.5846596534946584
171,-1.2074732270412745,-2.102739854638628,-1.7714505011848019,-0.6695478721859053,0.4005588820817171,-0.4869635394796187,1.005774239796516,0.19628044619154114,-1.1891336924103912
172,-0.6346248521647926,-2.1136874329394786,0.4636932762034507,0.706571719665363,-1.027578261219676,0.4644378186334147,-0.3063339412446939,-0.37920662832710056,-1.962923544576639
174,0.6600647028355525,-2.3718306160592584,2.3428103934637137,0.8253612213793539,-1.4585277744833924,0.7541371998693226,0.33381935736436646,-0.39025879223389043,-3.76797874742788
176,2.239536988314441,-2.584228720098228,3.689277145427725,0.789640674496358,-2.0351563555767966,0.9915995343274449,0.5330078756560651,-0.05612075287423932,-3.885164172020649
183,-1.0598570562227563,0.7853917694869358,2.522755618068666,1.2057362627161243,1.3884068755998205,-1.3508464674268335,-0.9807302165395749,-0.43507866122545136,-3.125385810617635
185,-1.7557331890830394,0.34787633056289624,-0.817432152012359,0.05935307716590027,0.49413729344955487,-0.34386271340661084,1.2556395899171233,-0.10588745184499615,-1.333267771128787
189,0.09560863837217275,1.4541432894860875,1.0213910662463412,-0.8660753643507029,0.692121589259166,3.013129893673287,-0.584077095291475,1.2671663574567684,-2.4345058401715667
3,-2.322464635734274,-2.040742091318116,-1.2628782492088486,0.1528068117660981,0.7553782363809558,-0.2745439126529107,2.080413911692441,-0.33105252744568353,-1.1244334770519653
41,8.145048975104848,-0.3289572057340241,0.5452891153400627,-2.180347673691604,1.5100699324825149,-0.862963228462974,1.1421490471264213,0.42637747658614283,-3.066838566526077
48,-1.410780915380753,-1.5430215816130286,-2.894975839378019,-0.022609522956267905,-0.18392741125259277,-0.4306841855526793,-0.4415993236585655,0.8763085022667417,-1.539245668760001
87,0.8547746391046466,6.5705762792434905,-2.1246170905150144,-0.36030719275320366,-1.5498903094191772,-0.5407139874575808,0.21681165993857898,-0.7202160053347624,-2.005140248568136
97,-0.726367272617657,3.8334388951400395,4.020104097540603,0.9864229997934997,-0.09010384060490031,-1.3043002420505843,1.3537586289759496,2.030200079714267,-2.4528112618348863
83charge,-3.4138155746681957,1.4667255162811887,0.16242102035679382,-0.4373519995725751,1.787161217123483,2.1970564550205096,0.25120182117005846,0.013967516653383548,-1.2400520458167803
83,-3.196038817965075,1.0921828459345497,-0.052344777027564106,0.4013125452057127,0.5494825546505151,-0.4207613969994959,0.8674318190277477,-0.6115366948984957,-1.2969334854806922
95,-2.787833681232993,0.41027948619043175,-0.7728309680065271,1.0153465968085944,-0.12892445636336264,-0.19210065469558535,0.27715437484168737,-0.8763240789159303,-1.5124480732028336
12,3.4821704221115044,0.5051671755645463,-0.6915358751361104,2.3393824948911606,1.2460390555107257,-0.031224496759772,-1.060166017030789,0.35289769110843394,-1.4990164414513465
13,-1.8247455324889208,0.13630377276554054,0.9603949960866357,-2.6729907777653925,1.410003667799329,1.5642922461299622,-1.2722081164268388,-0.2511664614112052,-2.09435209417592
19,-0.3222604492248256,-0.23679705158357248,0.2571933458642157,0.5410966783755193,-0.8534234017293486,0.9487407360473029,1.2571750528969547,-0.540260649362397,-2.6227075125538177
20,0.7060946708124609,-0.25416314035259024,-0.46040108728532,-0.163934270856217,-1.225399260785248,0.7554871324502282,0.09514979230607892,0.12378589545505432,-3.233637276625608
22,0.8674684105307309,0.9142701126219708,-0.7575943924968459,-0.5408700950140268,-1.037679123029908,0.6137575499402302,0.6373836037804561,0.5864082160086568,-2.0462015421929083
32,0.4754510648917445,0.42921879800146184,-0.9747043193728818,-1.44681790557789,-1.0840588219958072,-0.3012837813150263,-1.0591365514704407,-0.8155152240887837,-3.954439263751375
33,1.908976003073092,1.5344948178205156,-0.4536456789831265,-1.6943802570039959,-1.5993741639712815,-0.06689092351843223,-0.3868994278639767,-1.001859763225269,-3.056465927486737
40,1.7953692513538186,-0.9045078650692523,-1.6487381589540318,-0.6235671519569169,0.8796621565105492,-0.4852309520334744,-0.08582106967644947,-0.1594070209327442,-2.315557171001566
45,0.020469566322029637,-2.195020699050618,-2.2818170784803096,-1.1847244370790342,0.1508736806124306,-0.6226740973220564,0.6671568868536804,1.071633140537498,-1.3542178688475297
46,3.1328703042260884,0.6514179113476171,-1.2408113686727287,2.3730072836070453,0.9726509222152859,0.8651620262440135,0.1967854505142074,-1.1393714742605323,-1.9054451206103973
47,2.729412104217789,-0.5232575693890404,-0.4095783653255531,2.281965759654644,1.3563715482899872,0.0842479042541769,-0.9316026256878074,-0.45976043888314916,-2.1107268756658235
4,-1.9324595958620439,-0.3444543701951319,0.4683971538683914,0.019459646158375605,0.009860735272771677,-1.0780232657286717,-1.0882038988340292,0.353705454557103,-1.6033528101282104
52,-1.0425359478362783,-0.3893479258548521,-1.6755259538232858,1.0635911816222805,-1.08987001903573,-0.19469033954555667,-1.3282930390933243,0.7116759778606045,-1.8645407793608977
56,-2.425867189683081,-0.42207700899791256,1.3893541395454305,0.2829280599495806,0.2640306793783619,-0.9832415216516519,-0.32511665510199217,-0.2436393257225148,-1.7365792901436872
