Real_Name,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8
hub4,-1.2201081808225942,-0.9088303565824032,-0.4909009096832009,-0.16738621571746048,-0.05406446601568467,0.24008033880956026,-0.27072615528617716,0.37141817412699524
stoddart,0.11882850980535285,2.7787880236025284,3.365524220263691,-2.6686236597768347,-2.4120045808187585,0.32594188304782246,0.3342013382954834,-0.22633978221305276
davis3water,1.4542608581576169,-0.34708050292517595,-1.7361369240870088,0.16521152588441204,-0.09218624847993315,-0.3360715923564452,-0.6024594364086826,0.1440325732690355
107,0.1877942545416915,3.3799751961955318,-2.429816774433532,-3.9309707662886404,0.056801677395783914,-2.1104439771588313,0.16068010985815726,0.7420285934856952
davis2water,9.617180786336437,0.18104504894265744,-0.6093980086228828,0.9602387677105964,-1.3543987204185752,-0.21508875745200992,-0.3662834975953521,-0.3313015027592754
roelen1water,10.272245618147352,-2.1870651986110543,-1.1449442980285733,0.5923820295518336,0.32892939171881097,-0.453610399032216,0.5057751882400408,0.11007819786525297
12,0.7530224468158185,1.8193641125287658,-0.05767254726628663,-0.17522339508743565,3.630762916778102,0.39948261311828576,0.34500752015587366,-0.05296446312645568
13,-1.4930403195986839,0.7576146074393842,0.04143192690716169,-1.614069342070287,-0.5323072532236375,-0.4108330228940109,-0.3536429388837261,-0.24484424748571523
133,-1.1378742474796357,-0.9203719662276164,-0.6078710791382061,1.155350122763415,-0.6463825315427665,1.1998654316685753,0.08557067708200738,0.12066794409021055
171,-1.888594191387684,0.33764795943898224,-1.3492863282527132,1.5569813289220886,-0.5730231925548912,-1.4871655425827541,0.5560680515979756,-0.03202829382805376
172,-0.8632151889623283,0.5718114698588596,-1.5007873184919,0.4305459646396077,-0.7977019705108118,1.1946795272070692,-0.33380381632476225,0.0756125865043901
174,0.03461226316760535,1.5906039557318876,-1.4293445023935674,-0.08410605594779866,-1.173077348693651,1.4541199059267957,-0.11250709242265271,0.06340593996292827
176,0.8400313524848065,2.414811874028313,-0.9869444467924537,-0.19351693249112942,-1.7488586645145316,2.0255699629453123,0.11235261638589628,0.08809806287276499
183,-0.041695182591622144,0.5006418009456348,-0.2832436530279916,-1.4028152782056151,2.00573492748734,0.5416709820324764,1.072170589845838,0.6918527976258501
185,-1.4678235574619718,-1.3301169523306422,0.33016274551304087,0.5431155489654987,-0.17312413828040027,-0.566600692126653,0.732571021265932,-0.1249577916235314
189,-0.308588809872612,-0.23523590278411546,-0.04983493524161496,-1.472285632762921,-0.10441291980353694,-0.24647922299236907,-0.039635607037469885,-0.40465454119131633
19,-0.8596853363847672,-0.6138063644776067,0.11994728400831811,0.09434744826802678,-0.6401947646805778,0.4911274033161568,-0.6276497128892756,-0.7459641067829212
20,-0.38599439402831304,0.3797509866710762,-0.780413386967164,-1.1016972490008243,-0.2678757192995257,-0.38751612452165324,-0.6931949721012386,-0.6530013189919001
22,-0.6564582058278248,-0.6354806260043409,0.7298832400996733,-0.7648595123323183,-0.4845666924852797,-0.33072639397241593,-0.5992145840125457,-1.1686511801422832
3,-2.285009997906095,-0.6032438654239594,-1.0251028812685168,2.3788905998803753,-0.5895316680495838,-1.0225030184215127,0.5757648305068085,-0.16290202932009615
32,-0.7082100623552479,-0.25312334236477796,0.9836095831375437,0.03402122942533496,-0.9867698103953756,0.11755428167560408,-1.3026633577128446,0.5658152943437649
33,0.18742969795988335,0.0013982019237400052,1.5452223233190425,-0.9237971455226021,-0.8313378385343287,-0.5285365174212194,-1.465443804567086,0.558810220842907
4,-0.9286010966331881,-0.1832914413674069,-1.3325639191119885,-0.9019896173943145,0.13520110276529787,0.17593165097789376,0.5953639251993588,0.3824281788973063
40,-1.046209093172895,1.1002212891881753,1.262326042110094,2.1824768773073004,0.29834388621642066,-0.2635797051262849,-0.14532054233879627,0.08253666953598265
41,0.9112238081488189,4.11071713941681,5.260127503463496,3.356016732509547,-0.18340121767848097,-0.33799727257055123,0.7108896892806074,0.15441396989434533
45,-1.6364313044326553,0.6481897212161082,-1.015618817030714,2.004013979433753,-0.9455729448378292,-1.6868145959828071,0.7406467442386058,0.04776410761748276
46,0.2717168746524307,1.1569679744139847,0.3513901711503775,0.5333448021391495,3.528018062163598,-0.10636685089802651,-1.4434561834803195,-0.5512465542822856
47,0.22156414855322895,2.0703670370790723,-0.2897670241603975,0.5405161638231861,3.25689127170026,0.7314239345609279,-0.21312136560725092,-0.06965278371270463
48,-1.9567063644358644,-0.781568059888969,-1.4695504063115183,1.8219884517612832,-0.2613498929795198,-0.542605698749224,0.11456132335046074,0.05514425560176265
52,-1.0751777571525136,-1.631034144834508,-0.7943489803779924,1.272285936770113,-0.18808805646927568,1.2511004091124052,-0.147081280579161,0.5541758212587988
56,-1.0479465925405895,-0.4227595596695418,-0.8574129822061684,-0.4367487807863461,-0.1419859708363229,0.5825009485563105,0.5915396834077239,0.4054959878143954
83,-1.6953388193574175,-2.023655937610175,0.0675984424169152,-0.47591846233238744,0.38266334555190096,-0.22866221590243416,0.020515138659322932,-0.506881864670501
87,0.5694658909621857,-4.390369267410645,4.313573247244979,-1.1525860048580456,0.6387528928796394,-0.6288161202043806,-0.5669715273155648,0.9932222133798049
95,-1.588905013871989,-2.2185499165956593,-0.057941385536989826,0.7968328403133133,0.08911599575432835,0.7124585320885033,-0.18895913219373914,0.26680225311901945
97,0.6865988896997501,-2.240816187292873,1.954499331002179,-2.1996174322260473,0.3436638256865679,0.7630849802595944,2.212048642045912,-0.6409598669734954
