Real_Name,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10
hub4,-1.059529139348338,-0.34497361738564747,0.14936684026701022,-1.1488571751316696,-0.6469842793428274,-0.9104467680960395,-0.40387680085447125,0.040519020072420385,0.24234744341339903,-0.08807601987190351
stoddart,0.3576694912546391,3.0432670580720997,2.807075292897529,3.1604816473401045,-2.2515591771215338,-0.5454018339913322,-0.8930884650089678,-0.24584873378642316,-0.45208875245406477,-0.30994646526661707
davis3water,1.4241326835620849,-0.5087559886266607,-1.1764092002355324,-0.9362783706009198,-0.5786289312701608,-0.6848787933010659,0.2663520737690682,0.6731231293939333,-0.3042752008914168,0.02803212530427595
107,-0.8483896827766936,0.3823325970140625,-0.3703713830127558,3.376971500250869,-0.3217175956021276,0.21359679871735224,0.23626688884829197,1.4364135541823932,0.03512358912699545,-0.934245321359527
davis2water,9.61794288097599,-0.35526002264638484,-1.5156860154606229,0.5383006985414801,-0.9016037896204925,0.22189438342880421,0.5036357201302712,0.2726205997456849,-0.580470621537257,-0.1327581424770474
roelen1water,10.134184083371391,-2.5128692668089547,-0.6725092439627711,-0.973844446663226,0.22411352025510373,0.5471623743961649,-0.40905995653544663,-0.2093838875582569,0.2500721568749292,-0.14285675001143572
12,0.8340580281527953,2.3383504896506757,0.4824346238733851,-1.324715840828183,2.751203998498107,-1.1803049325231394,-0.8937984980037769,0.0518226635943053,-0.3219196516717368,-0.30824217598068415
13,-1.6897306821757014,0.24514557809154883,0.7163545050376209,1.1085709532831691,-0.7470838646919821,-0.22776476429134257,0.2639907880232989,-0.20910088795912632,-0.1464283138123257,-0.34234175317510196
133,-0.7510214626765366,-0.03525288985186761,-0.8798557306783901,-1.4755374311260958,-0.8144254786239918,-1.1884408420599737,-1.064116619115729,-0.48786556962734606,0.01408031472509268,-0.4426954748271675
171,-1.8940061625090285,0.38330239415407574,-1.7685177176911504,-1.0443244766185085,-0.7712448316205435,1.5133526762636542,-0.17503181471930854,-0.053841990097922766,0.08223695043951404,-0.029655704716066707
172,-0.9974340187114977,-0.29902302596879377,-1.8652241502016467,0.753446366582384,-0.1536813028614203,-0.8607904151552184,0.14333568491384666,-0.30774383891916435,0.335512222441697,0.19370853126384446
174,-0.3454663094649621,-0.21051860067167938,-2.090402288109225,2.428769316116442,0.109258347254419,-0.580707784519788,0.25694010118296556,-0.5646237694024638,0.6251025203325444,0.27331246004570436
176,0.444642384227639,0.29226283782174833,-2.184538583021089,3.5394103446710927,0.03201371205555258,-0.6468880288483541,0.08074172208818504,-0.802386224459618,0.8299118373670664,0.48413980363123243
183,-0.5375266141369364,-0.8617832006183453,0.45059815090720295,1.5766779921124678,2.5812924039624363,0.05660477619863011,-0.2906672665240859,1.3713166347814907,0.1119570553320932,1.2660505955434371
185,-1.4344372896860003,-1.0567737823173478,0.22505848136459877,-0.4530922961738268,-0.0032785804355645706,1.1598305725253812,-0.20843572434875746,0.3188805961338286,-0.3561199177231429,-0.044836623867389874
189,-0.4563903141255433,-0.564763108666621,0.846116150660684,0.5617844426951184,-0.35369653712980154,-0.30301765888653365,0.10690571702023728,0.3145089043120498,-0.6372161624154258,0.5829112839895263
19,-0.9361654871382041,-0.941493229730295,-0.1417112848455653,0.6436992294194678,-0.09827248130447819,-0.01059755569481507,0.967618075426096,-0.45457219438308694,-0.39856889500136944,0.2654184108409763
20,-0.4255900147479898,0.31534347413969077,0.1476576441002767,-0.17170317271768,-0.9880036586945942,-0.8400898254097664,0.4286243280348156,-0.11382456582226967,-0.5803026325374199,0.682382782826868
22,-0.45430318535328906,0.1444988124089397,1.2742203653769104,-0.5949050748637782,-1.14569478196897,-0.4156496791144807,0.3691400183567025,-0.5883555486691048,-0.9922611678004083,0.3034687800716366
3,-2.417889113355905,-0.9583873448691449,-2.102846119967146,-0.49846183166081004,0.12138169290944878,2.27471565417529,0.3813345326327872,-0.31992098013963177,0.20657981771476494,-0.34449905158697897
32,-0.3484757093911423,0.7448050758199275,0.7343963158984947,-0.5791293190108704,-1.3873588006905222,-0.8372897754204308,0.6980171600473686,0.44702545909662816,0.37251668209769523,-0.036085903365466285
33,0.41897253295825404,0.8656189375996096,1.7427128967436754,-0.10047568326233527,-1.5033582788907425,-0.49165337972543643,0.97668583608719,0.0958569075252269,0.7246818743639684,-0.12679708106324244
4,-1.1258673187768835,-0.7931915920679911,-0.40564973639687646,0.1469261465962357,-0.017929504777892947,-0.5485726049028546,-0.8647595934684877,0.3613605831063978,0.03566717965573809,-0.2713272545655269
40,-0.5589712994240953,2.479888630120638,-0.3066701379687431,-1.2839062037462599,0.1854024088447313,0.5599251582858356,0.13584302834846834,0.12816341189507022,-0.017152949047372485,0.06110649458419389
41,1.788643796053508,6.332929185567123,0.9952465711904133,0.4807744035259718,0.6094021621429622,2.2501087255526717,-0.11454482985629437,-0.19022316124450583,0.31559581680010024,0.13315345847955215
45,-1.3704503813080973,1.3987914208911076,-1.7568324166726763,-1.7217958949721868,-1.4480149834175349,1.4718377736625732,-0.5596443447303158,0.2684021622115257,-0.06042013231314961,0.5250682251403836
46,0.2557949856062287,1.615662835658226,0.4683927158167959,-1.3432619904063157,2.8832805740909544,-0.5498459682020704,1.4923301970253038,-0.3891802430147856,-0.13808363279849098,-0.08368596801146641
47,0.2067033269829724,2.1447548818494755,-0.3981629875413096,-0.7585836256544773,2.9536358804036955,-1.0070507380039357,-0.09944494629226176,-0.20513693923662807,-0.04541998003403832,-0.4481380248062807
48,-1.6380682144738912,0.2067442693944005,-1.5337623825869184,-2.5398879419476605,-0.9868736483777651,0.0314724160394254,-0.5348549047427112,-0.002064500808216509,-0.08105878104222945,0.2013563812627526
52,-0.7058042897395843,-0.7197395822984379,-0.8648117208290115,-1.8648326208711818,-0.37540634468463313,-1.2792769227970087,-0.6658299671586422,0.1455058605507094,0.3168477062200116,0.22343134119852467
56,-1.366299870868825,-1.5086036546325456,-0.630141799525024,1.1232984398388124,0.5685045216051376,0.05170148578448628,-0.361053795018486,0.32750061469848213,0.18054903537253558,-0.4983086048102121
83,-1.9213758053398708,-2.3249268702326864,0.7517909841647857,0.02993773643275828,0.5869928895409607,0.6296001175632486,0.5286464405740172,-0.10146235890538287,-0.4675186452432235,-0.36645170307277636
87,1.173335159257728,-1.5580624443990656,5.367189934933398,-2.315636062612097,-0.5963932573649958,0.2960493608744591,0.1899499323253912,0.14520108923289632,1.1713376215259814,0.14816824054916725
95,-1.5980123628813108,-2.1235187827481923,-0.11219583055939061,-0.5311686640441768,0.5476398133387548,0.08878015243634954,0.3304320516766715,-0.11578619819508675,0.36591675367565873,-0.3667617597188897
