Real_Name,principal component 1,principal component 2,dG
107,-0.9956734488112101,4.524492463924806,-2.195807742165804
133,-1.7065519289690065,-0.6850340529229786,-1.5846596534946584
171,-2.9379702695299352,0.3500087013197775,-1.1891336924103912
172,-1.595513112615864,0.8817311167446906,-1.962923544576639
174,-0.42994438368368765,1.3778790656440907,-3.76797874742788
176,0.7392971085518376,1.3032740327814323,-3.885164172020649
183,-1.0250965566552968,0.8548033320558547,-3.125385810617635
185,-2.4973565615676123,-1.3950232149134405,-1.333267771128787
189,-1.2571360410065011,-0.044750052017997144,-2.4345058401715667
3,-3.297365554440283,-0.6103835314635225,-1.1244334770519653
41,2.1383285629062927,-3.517128043501667,-3.066838566526077
48,-3.067942983822972,-0.19723863974555128,-1.539245668760001
87,-0.10226217841430618,-5.252729769803918,-2.005140248568136
88,-3.2973655544402836,-0.6103835314635208,-1.1244334770519653
89,-3.297365554440285,-0.610383531463522,-1.1244334770519653
90,-3.2973655544402845,-0.6103835314635215,-1.1244334770519653
97,-0.09636826289076798,-2.1977439845276843,-2.4528112618348863
83charge,-3.134245129331744,-0.6622682907953299,-1.2400520458167803
83,-2.9400183598165386,-1.0299032385484734,-1.2969334854806922
95,-2.6165264752242723,-1.4561314637264864,-1.5124480732028336
A1+2,-0.32749792211841294,0.26271092602919055,-4.92107265089807
A1+3,1.7640401321981376,0.22987350265919776,-4.086896792064719
davis2water,11.372746117718307,-4.423398854995321,-23.80378577180561
N1+2+1,0.06258765275863686,2.257094795143437,-3.411723729084948
N1+2,-0.08323580214285031,1.2079754818311887,-2.537074488001345
urea+AMTA+cage1,2.6474756699260045,1.0021340587396714,-2.393096451521924
urea+AMTA+cage2,4.443267067796366,0.83714320101025,-3.385978800054009
urea+AMTA+cage3,2.669413822234336,1.740688277811968,-3.26009701728842
urea+cage1,2.6798310341704585,-0.3139584236826046,-2.5916326479986465
urea+cage2,4.453816227343791,0.0640832416817184,-2.7840071386494856
urea+cage3,-0.47421088190119437,0.9596182862591205,-3.5668887128890487
urea+cage4,0.15424470251264935,1.252184831409022,-2.060364492189253
urea+cage5,0.11602718150382267,1.6001078833052853,-2.4293803915839973
12,0.3908666593024448,1.7284465796993793,-1.4990164414513465
13,-2.430289156971018,0.7293079833500878,-2.09435209417592
19,-1.5797584717111344,-0.8995561636458447,-2.6227075125538177
20,-1.326753925383738,0.699387184379821,-3.233637276625608
22,-1.3621817939667427,-1.0426467781966688,-2.0462015421929083
2Anthracene+dithiol+1DM,-0.16336542427223547,0.41041573527489733,-6.3539699694120575
2Anthracene+dithiol+2DM,-0.007469295027219791,0.5557101976865376,-3.236494554432239
2Triamidethiol+1DM,1.3908730695869913,0.1209324999890844,-4.289709617613264
32,-1.2150463446103377,-1.4476841195075232,-3.954439263751375
33,-0.19953403411708298,-1.3549448734320917,-3.056465927486737
36,0.1335667314306236,-0.31497653504074946,-2.9883469172673336
38,-0.044200997604312155,-4.92998568935029,-1.1244334770519653
3Anthracene+dithiol+1DM,2.0417507039989573,0.38500690749968536,-5.582542886058176
40,-1.2998529863062291,-1.3542050128005483,-2.315557171001566
45,-2.5534754399148163,-0.16634046854739978,-1.3542178688475297
46,-0.13453256536090763,0.6881486724697222,-1.9054451206103973
47,-0.08489510429993131,1.7334800369007342,-2.1107268756658235
4,-2.0494079630552475,1.046060390222998,-1.6033528101282104
52,-1.9371055623600486,-0.9716121801972043,-1.8645407793608977
56,-2.031082342899264,0.33573698854949935,-1.7365792901436872
new+urea+AMTA+cage4,6.49077236779437,2.3562347449099135,-2.245272094194137
new+urea+HB+cage3,2.663642399472986,1.3790963875534765,-1.9524766620994205
T1+2B1+2+HB,2.9600720697379312,0.7437842952125125,-6.343702352063376
T1+2B1+2,2.95583542406759,0.9245861428131831,-2.986309163570722
T1+2B1+HB,2.0824891672882004,0.8751352883836332,-5.31857897270717
T1+2+HB,1.275100512428551,0.19025687420012813,-8.706828919404163
T1+2,1.2699195393942952,0.4912638683078635,-2.581217624680994
