n_pca_comp,R2_train,R2_test
2,0.9999404974766197,0.03499668635449478
3,0.9999508906207352,0.007416511696022499
4,0.9999958794689402,0.006397371335433716
5,0.9999965242994723,0.0649687081639679
6,0.999996797771661,0.08042300767229897
7,0.9999968032741914,0.08042771026018762
8,0.9999966196951366,0.11728642362345122
9,0.9999966862494113,0.1133588996953827
10,0.9999967297213512,0.11931160952004466
