Real_Name,principal component 1,principal component 2,dG
107,0.6437930780065837,-0.2122103072983634,-2.148916989514117
13,-1.1294756963616892,0.2710986971529111,-2.0783026240111777
133,-0.2587019162230098,-0.9702783829245218,-1.58430694123751
171,-0.9973575189341204,-2.4943234565235315,-1.0783809174387322
172,-0.2977914609784465,-2.139735683920384,-1.9529398344992004
174,1.1353893157510129,-2.010257132640881,-3.70887114136657
189,-1.206679224600629,1.3336740754690044,-2.3162141298068137
22,0.3038011521553151,0.8739493558710051,-1.998013579377795
3,-1.788380187124789,-2.5912959948949603,-1.0987136798307315
32,0.389606919998786,0.4358145644389063,-4.002230083167765
36,3.1962556074161785,0.7337274271909972,-3.030267846253999
45,-0.3848405384468547,-2.443479748576466,-1.3262607939507511
48,-1.7784425770403156,-2.1148300966847398,-1.5259016334106572
83,-3.1369055454939723,0.7874233829126797,-1.1021651248690625
87,-0.9910689344114912,6.160814421132018,-1.6958981223491287
97,-0.6777506490997808,4.338501525341311,-2.459687418223027
