,train,test
1,0.9999999999506359,0.3620350722977518
2,0.9999999999934173,0.29062845570655216
3,0.9709219834488677,0.43290536062166063
mean,0.9887983211180111,0.29951351695062856
std,0.01678820066714617,0.07113862093633266
