,train,test
1,0.935122917715974,0.5589125268459648
2,0.9297533297086298,0.1971330142287232
3,0.9999999999995977,0.2970604840281669
mean,0.9458915241300925,0.3270924989084894
std,0.0390991538015267,0.1868316565333355
