,train,test
1,0.9771111869394862,0.5262586075668056
2,0.9999999999937481,0.42065943315324433
3,0.999999999982842,0.27358115559457336
mean,0.9902118608712446,0.041958964907647965
std,0.013214862375160811,0.1269048857094891
