,train,test
1,0.7680418737186727,0.39227538723082944
2,0.7727116526376416,0.04165969169246869
3,0.7302275857245458,0.25520544580334986
mean,0.7020612005914304,0.14108838276891844
std,0.023297436028925363,0.17669244649935573
