n_pca,train-avg,test-avg,train-std,test-std
2,0.9164727495532149,0.2137778354068797,0.06000807950018547,0.2446356186205924
3,0.7838570596491259,0.3300804410403251,0.058645072148693425,0.15938452366622974
4,0.9245111694117628,0.3335457434089064,0.05054179200759543,0.07716705262242497
5,0.9942286518215523,0.29615207156835355,0.009410941905252258,0.09469942439284246
6,0.9905416504923449,0.2903649760327415,0.01514039344385299,0.09273205035472337
7,0.9890171979390262,0.31687153952778957,0.017324349493115513,0.08127872014377178
8,0.9883704532912784,0.29322690949430164,0.017884144621106428,0.08324513581929552
9,0.9884234027093034,0.29746344853491274,0.017548606084724888,0.08126027211186353
10,0.9887983211180111,0.29951351695062856,0.01678820066714617,0.07113862093633266
