,train,test
1,0.9298483235427978,0.46649489563951796
2,0.7941837097438835,0.15778217399240851
3,0.999999999973679,0.21313673243884632
mean,0.8965342580281,0.24694441124852937
std,0.1046314886217553,0.1645995294181122
