,train,test
1,0.9578486491621118,0.6337766322935162
2,0.9287924214152358,0.2144091089468404
3,0.9999999999644182,0.5780365340562004
mean,0.9518400164576666,0.45226311114178364
std,0.035803910373438774,0.22774290420014315
