,train,test
1,0.9734359726234308,0.6020712659615397
2,0.924199634699688,0.954090788636154
3,0.9999999999992464,0.5121248583541587
mean,0.8688617896217125,0.10729569268344535
std,0.03846114901670378,0.23357439361495588
