Real_Name Free_Energy_Cal_NS Free_Energy_Cal_MO Free_Energy_Cal_LIT
hub4 -5.498393817859918 -10.454463207398815 -7.599802197938649
davis3water -2.9562730820471272 -10.28210702148913 -5.147801711181119
roelen1water -19.80689653331398 -26.902737346863653 -21.725640953746336
107 -0.13632904511007368 -4.30930321051317 -2.148916989514117
133 0.6509362882032947 -2.2976541454440067 -1.58430694123751
171 0.9613335214787158 -2.274826187694122 -1.0783809174387322
172 0.11154358999033478 -3.175672620972162 -1.9529398344992004
174 -1.6474472705640153 -8.465611675354166 -3.7088711413665694
176 -1.8433718692054613 -6.2248524947879975 -3.8844266435410932
183 -0.983131553779137 -7.390415604187482 -3.0100989014727713
185 0.798987379773486 -2.0677014718789404 -1.328956889854767
189 -0.2997250150971747 -4.536797273802133 -2.3162141298068137
3 0.8965938936730575 -1.824001614755573 -1.0987136798307315
41 -0.513876639698147 -4.317157771448359 -3.0055445555831133
48 0.6449815570938227 -2.4277361468999303 -1.5259016334106572
87 0.37256111610410725 -2.604125855267818 -1.6958981223491287
97 -0.4328831012491141 -4.775906855424806 -2.459687418223027
83charge 0.8843630327692499 -1.9975687737553958 -1.1469645711172096
83 0.983646746658047 -2.03526080452171 -1.1021651248690623
95 0.6237230144581049 -2.4284259117353866 -1.5335782531910933
davis1water -19.409524540915243 -25.493357329046123 -21.539239785415074
davis2water -17.021332346407835 -23.154129419247976 -19.13023261921059
stoddart -4.812625504800658 -11.634317908435754 -6.9194027860524505
12 0.617835681364026 -3.380991670985429 -1.4661573855576333
13 0.05912976725908129 -6.888629042553839 -2.0783026240111777
19 -0.4598128571493396 -4.412203165692792 -2.617576777502286
20 -1.0943909470060462 -7.966127674609908 -3.175251215126808
22 -0.016038339473589965 -3.089515438333239 -1.9980135793777947
32 -1.801967106787022 -6.390605445947327 -4.002230083167765
33 -0.9715235261328604 -5.059125511973807 -3.0534352575131054
36 -0.9785789607497835 -4.9669706716466795 -3.030267846253999
40 -0.027946826110128352 -3.655391106978865 -2.2636978415997855
45 0.7387390810481108 -3.1472824733634894 -1.3262607939507511
46 0.2505156310592581 -5.618286209443269 -1.8814899500574542
47 0.0192257911466659 -3.856939886576429 -2.0278942052139204
4 0.9479782830564356 -3.8311554242583807 -1.126855522437957
52 0.4224835519841777 -2.75312924245985 -1.8565990455514167
56 0.34484657748533126 -6.49504643921158 -1.67590883963434

